rewards,infected
-922.9,909.5
-925.05,910.9999999999999
-925.7833333333334,912.5333333333333
-924.4333333333334,910.6999999999999
-926.3166666666667,911.8666666666669
-926.3166666666666,911.7666666666667
-926.7666666666667,912.5
-927.5333333333333,912.4999999999999
-924.8166666666666,911.0000000000001
-925.9166666666667,912.5
-923.7000000000003,910.0333333333334
-926.1,912.4000000000001
-928.5833333333333,913.7999999999997
-927.4499999999999,913.0666666666666
-928.7333333333331,913.9666666666665
-926.2166666666665,911.9333333333334
-927.3833333333333,913.1000000000001
-925.6666666666666,911.6666666666665
-925.3666666666666,912.2333333333333
-925.8166666666666,911.0666666666667
-924.4,909.9666666666667
-928.9833333333335,914.1999999999999
-926.6666666666667,912.7
-925.3166666666666,910.6999999999999
-927.9166666666667,913.2333333333336
-926.8333333333333,912.7666666666669
-924.0333333333336,909.3333333333333
-925.6833333333332,910.8999999999999
-924.1499999999999,910.4
-925.4166666666667,912.1333333333334
-925.9166666666666,911.0666666666667
-926.5833333333333,912.1000000000003
-924.4166666666667,910.1333333333332
-924.45,910.8000000000001
-925.9333333333335,912.0666666666667
-927.6833333333334,913.3333333333335
-926.4166666666669,911.9999999999999
-926.4333333333336,912.8333333333335
-924.8,910.4000000000002
-925.9833333333335,911.1000000000003
-924.75,910.9333333333332
-925.95,911.7333333333332
-924.7,910.9333333333334
-923.5833333333333,909.4666666666666
-924.9333333333334,911.0999999999999
-928.2166666666666,913.6666666666665
-925.5166666666667,911.0
-925.3666666666668,911.7999999999998
-926.2500000000002,912.4666666666665
-925.8166666666666,912.3666666666667
-924.7000000000002,910.5000000000001
-924.6499999999999,910.0666666666667
-922.5333333333332,908.6
-921.8833333333331,907.5999999999999
-926.4000000000002,912.8666666666667
-925.7333333333333,911.3666666666666
-926.3666666666667,912.0999999999999
-924.4999999999999,910.1333333333334
-924.7666666666664,911.5333333333333
-924.0666666666667,910.2666666666667
-925.0833333333333,911.3999999999999
-925.9166666666666,911.5000000000001
-926.2333333333335,911.3000000000001
-928.5500000000001,913.8000000000001
-925.6333333333333,911.4666666666668
-924.0833333333335,909.9
-926.5500000000002,911.9999999999998
-924.4833333333332,910.7333333333331
-928.1666666666666,914.3666666666666
-924.7,909.5666666666666
-924.7666666666667,911.3999999999999
-923.7333333333333,910.0999999999999
-923.7000000000002,909.3666666666666
-927.2166666666667,913.3666666666668
-926.2666666666667,912.4666666666665
-926.8833333333333,913.4333333333332
-924.5333333333331,910.0000000000001
-926.4333333333335,911.8333333333333
-924.9000000000001,910.9666666666666
-928.1499999999999,913.9666666666665
-927.2,913.9333333333334
-928.0500000000001,914.3333333333331
-924.2666666666667,910.5333333333333
-923.7333333333332,909.8333333333331
-925.0166666666668,910.6666666666667
-928.0833333333336,913.6666666666667
-924.9,910.9666666666668
-924.9333333333333,911.3999999999999
-926.2166666666667,912.3333333333333
-926.5499999999996,912.7333333333333
-924.5,910.3666666666667
-926.2166666666667,911.4000000000003
-921.6666666666667,908.4000000000002
-925.4833333333333,911.0666666666666
-927.5333333333334,913.3999999999997
-925.95,912.0666666666666
-928.9166666666665,914.3333333333333
-925.0333333333335,910.8
-926.4166666666664,912.1333333333332
-925.5333333333333,911.8666666666668
-924.8833333333333,910.7
-925.4499999999998,911.3000000000001
